Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,423.8874606,384.4431168,384.0296573,335.4295819,206.2146171,237.0199896,239.4945132,220.5629572,194.7719599,205.4179361,225.2943911,265.2253635,283.4682818,318.6431219,333.3450784,387.1680659,475.0449554,461.131534,474.4256923
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,556.3764491,596.9387957,508.5159057,539.5732023,744.8842472,1271.616174,1632.724694,1720.275409,547.3182989,566.4282318,712.1648521,763.3887454,962.4810419,1211.377035,1599.538916,1815.526975,2154.105435,1820.486339,2202.25673
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,2277.303723,2402.135177,1198.928298,1336.647756,1786.354883,2355.247054,2306.53367,1959.560738,1861.898998,1823.022677,1989.135373,2445.362864,2818.581456,3120.984014,3440.441106,4204.113288,5026.420299,4799.787228,4833.365868
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,19227.88942,18938.87284,18924.58319,17015.74879,16314.55786,15914.2193,16430.44619,14369.63398,14771.40375
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,28137.48373,28427.25242,30328.21092,27792.65992,29129.73509,34658.69483,37072.60003,36324.14735,37991.89076,38458.25309,43048.28874,50208.09602,57854.56982,67358.3616,75047.7417,86600.23876,99001.53007,81939.72655,90020.34226
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,7545.703052,6977.328592,7317.788158,7038.930159,7068.38997,7414.302792,8068.000768,8234.640638,9753.847552,9611.963602,9869.130502,10463.54258,11800.85074,14434.85779,16930.85651,18792.65377,26576.77924,20655.91802,23570.17981
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,344.4554738,380.0198433,395.6772086,407.8881407,399.9559276,450.5502793,456.9969618,438.0309427,642.3383465,609.9395069,599.9373457,672.4417867,771.9022473,827.6198612,900.873565,998.0901142,1067.043246,963.7880664,987.3045711
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,6402.929615,6824.343538,6552.711239,5891.503787,6329.069767,7038.005234,7788.29727,7944.599072,7798.075106,8239.263868,8340.18965,7862.392861,8393.730291,9367.686153,9737.019439,10155.04708,10471.151,9837.498831,10018.06524
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,2620.138273,2820.545477,3139.899529,3358.414117,3508.195701,3513.897379,3308.184296,3545.976709,3975.093087,3991.776708,4090.586174,4264.664288,4644.565824,5017.741092,5528.767055,6317.817303,7347.590503,7796.92617,8331.464214
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,826.3171521,941.7077216,1050.707169,1151.283881,1228.243436,998.2299674,1071.041852,989.721551,635.957919,537.8474596,506.3317895,577.4679224,620.5961477,744.48649,1238.182829,1370.753416,1624.793199,1568.831934,1866.868899
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,1440.158296,1685.268901,1682.674448,1661.709553,1760.288071,1978.715141,2088.171091,2078.508413,1736.117292,1637.686151,1367.765069,1443.998852,1786.215339,1970.871699,2439.431247,3211.936217,4384.954694,3941.848155,4750.962737
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,1199.666668,1527.388795,1567.409108,1487.674043,1879.366578,2189.534315,2226.916824,2300.672008,1945.413385,1929.57273,2007.370196,2129.441142,2397.251473,2706.669473,3129.559965,3581.089308,4197.584446,4181.187555,5072.11494
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,803.5725883,804.3233305,916.5156945,918.6429538,1059.983895,1199.841714,1311.092494,1273.276049,1050.792731,969.5306117,1014.908793,1027.230119,1099.63013,1220.460186,1426.146492,1712.655433,1959.292335,1864.450434,2162.913759
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,1731.209509,2235.541089,2459.020685,2497.130559,2874.831636,3700.959568,4163.511954,4137.008318,4520.641004,5015.2379,5223.45179,5720.813662,6711.727153,8043.923323,9068.855283,11272.52937,14048.56047,11556.30269,12567.73177
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,7884.617988,8958.985333,10810.56651,9534.656364,9977.319909,11781.36185,12185.0914,11575.50711,11526.37207,11734.76497,12936.69282,15797.78213,18064.15809,18780.12751,19839.45405,22811.05648,24949.04136,23151.21541,22551.9351
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico (US),PRI,8652.507492,9064.018517,9659.3389,10212.27676,10876.41882,11579.185,12173.16369,12817.64496,16192.12697,18123.1987,18731.45939,19557.12025,20988.99233,21959.3227,22935.94116,23664.88235,24898.33459,25768.72589,26414.88106
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,16721.62108,15133.49694,16280.29359,14769.71882,14764.8767,15822.50928,17124.79261,20522.80145,27535.18294,25870.79919,27226.65935,31602.47087,41035.50084,53949.67641,62582.44531,65954.11464,80781.21139,60785.73516,77387.29364
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,1648.48523,1254.312442,1102.103785,1158.056328,1323.032378,1650.049224,1633.010644,1577.33656,1659.929049,1825.192994,2119.855097,2679.40626,3494.990564,4618.003508,5757.531273,8360.337759,10435.15612,8548.454341,8399.537423
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,3494.063232,3490.452393,3098.802734,2930.670166,2662.104004,2665.779785,2643.929199,2737.572021,1771.594116,2100.352539,2377.529541,2975.123047,4102.364746,5323.455078,6920.199707,9101.239258,11635.28418,8562.824219,10674.99023
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,345.7734951,253.966902,264.0839145,247.0233185,110.9536683,227.9711478,206.0491142,238.7493714,251.8692639,237.3088462,234.0430168,249.012275,269.5404463,324.0168638,352.0939166,420.7335807,522.2883394,556.9739962,586.5999504
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,743.994213,741.5639638,776.7408244,774.9886316,1276.850216,1288.104733,1419.35849,1607.887443,1424.7524,1453.870213,1527.557905,1798.124297,2189.260426,2550.042214,2663.291359,3038.619041,3373.606399,3279.182695,3524.247925
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,..,..,..,..,..,..,..,37852.98103,37600.70491,39035.10043,41790.84342,52529.9137,58232.04313,59877.78627,63270.79945,70124.425,75902.16777,62429.02027,56543.19056
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,970.0596256,855.1050758,740.4713186,963.7856987,989.5007578,768.7107512,987.0487124,661.6682328,529.0893834,518.8805013,568.1025725,663.6962118,726.5608821,844.1691819,861.9707077,878.8857919,1081.868458,1128.280462,1045.209582
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,11054.7495,11847.16995,11730.26877,10884.86079,10601.91967,10786.4009,11471.5046,11545.3456,11714.56237,10805.31133,10586.05435,11487.22041,13154.4979,15975.74738,17563.61454,18596.15026,22320.4889,17718.39116,22028.39014
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,957.3143374,913.3995758,951.2049601,877.5290034,583.782776,714.9943964,723.4699501,650.7763214,603.2331625,637.2135306,669.4304473,817.8880342,918.1020795,979.8461015,1017.201967,1188.938778,1398.79218,1308.694043,1275.883575
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,..,..,..,..,..,2349.406452,3053.905169,3573.504402,974.7254693,1812.420883,2390.734594,3153.901131,3597.087981,3807.974173,4492.71367,6081.087657,7376.735179,6414.044846,5970.926609
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,5642.072897,5654.639757,6520.489505,6978.680754,6974.867706,7180.668327,7004.336039,7746.698513,8063.655006,8153.298637,8864.169195,9070.284608,10827.67164,11802.11183,12782.99389,12669.30267,11265.43763,9747.091805,10934.79495
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,154.7940725,183.686515,163.1975717,184.9516092,218.5072751,208.3519973,224.2587112,199.8800014,143.7437432,358.3157161,388.9951112,413.8176073,417.7499833,462.6333244,580.2679697,631.8899263,705.3590141,652.8458068,685.0396735
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,11861.75616,14502.37999,16136.24054,18290.13011,21552.41004,24914.8507,26232.8661,26375.86537,23852.83895,21699.74149,22159.83737,23730.38401,27608.08001,29961.31728,33768.45282,39432.88602,40008.57205,38926.80544,47236.68308
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25528.41262,26403.81437
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,3221.045908,2253.879119,2437.876302,2627.44824,3027.821383,3787.038202,4069.118977,4091.684529,3827.725065,3974.368029,4606.387935,6283.151693,7996.740766,9087.20357,10629.17823,14330.20649,17973.84364,16586.75278,16899.44868
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,9925.14071,7229.311498,7151.152438,7254.588874,8243.898955,10738.08876,10796.73994,10436.72607,10135.72191,10375.62559,11639.12978,14711.67487,17103.82978,17969.70959,19563.00506,23725.1596,27461.97642,24501.78973,23329.84177
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,648.3252126,665.8331041,763.8579685,828.8699978,1078.041093,1220.179193,1289.330369,1292.239519,953.1719014,911.7919354,756.8902965,895.9842425,986.0709535,1144.492334,1255.624474,1390.14871,1525.846663,1554.70671,1685.145358
GDP per capita (current US$),NY.GDP.PCAP.CD,"Somalia, Fed. Rep.",SOM,145.6035014,105.3713265,109.2049105,188.6031587,210.7937796,210.6732546,237.241441,280.1127242,386.1192744,244.9148425,229.5989183,286.2730252,375.4103262,439.9799078,457.9966622,479.6356281,507.0374433,246.5132517,219.2024539
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,3093.489204,3243.23616,3462.394002,3399.640096,3488.597115,3855.634087,3617.55336,3700.235548,3217.846934,2847.151919,2688.23676,4062.21756,5221.463337,5836.876633,6077.382934,6591.85536,6184.754743,6374.7056,7973.471958
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1654.211535,1323.220687,1498.27035
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,13795.01594,14801.32262,16100.67994,13330.37982,13405.70441,15460.91103,16100.62158,14722.37176,14743.2671,15368.2338,17111.06851,21522.0171,24925.02678,26450.95301,28421.68653,32652.01559,35603.24833,32279.82085,30658.74223
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,491.2136862,546.2925156,579.6551176,607.2318471,678.268012,741.8382553,776.1923711,827.0357561,860.1998843,803.5440266,834.9360149,946.3822551,1028.620681,1207.219948,1388.897391,1578.634511,1973.584769,2026.6594,2808.362452
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,5373.44824,5464.610257,5947.121136,6395.314377,7065.28292,7406.444861,7788.428399,8626.722575,9319.655451,10022.59192,10453.65871,10175.62954,10944.61837,11783.78672,13837.84953,14757.95798,16604.94486,16503.41193,16622.94579
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,4204.571619,4398.679069,4759.838678,4764.724648,4892.067336,5147.92024,5244.016651,5282.370114,5879.561914,5570.452471,5567.894284,6058.606221,6494.600349,6863.436419,7611.178567,7964.382115,8516.960755,8250.521807,8673.687203
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,2149.739444,2270.763572,2470.518408,2539.649686,2563.249766,2795.363056,2930.443947,3073.778474,3768.955366,4071.086011,4303.279768,4499.614542,4873.489477,5157.393739,5744.827862,6398.191235,6598.905315,6463.787773,6551.96836
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,1257.1875,1617.556763,252.6100922,312.6939087,439.4208069,462.5852356,294.8269653,373.09375,362.1168823,451.2933044,506.2626343,580.3202515,705.1133423,905.5436401,1132.474609,1444.372192,1527.582397,1178.221802,1305.635986
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,941.5917361,1079.725213,968.8952535,1022.445835,1433.542557,1609.825044,1962.884958,2067.598149,1988.221729,1714.648466,2202.340682,2516.10404,2887.772173,3453.428659,5002.657987,5530.176156,6576.085463,7129.576863,7943.604828
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,30549.31857,31776.66802,32753.4287,24389.87381,26045.5197,30254.0273,33022.24448,30324.18458,29632.58908,27259.31743,29957.77767,37292.24197,42758.00486,43378.40774,46531.37622,53568.30578,55817.17597,46707.6425,52542.57591
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,40170.86968,40140.37189,41327.18329,39828.36403,43741.10648,50868.97345,48837.80726,42159.99627,39298.0968,40133.6102,43094.24928,49947.39102,55349.61646,57080.07043,59910.29341,66082.1234,75147.53767,72788.20495,77956.1262
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,978.489617,1000.077987,990.1382512,992.7713675,712.3877166,779.6991002,918.1958574,940.8265898,1138.187227,1177.538069,1189.981195,1220.179077,1368.112639,1533.900176,1718.7847,1937.611991,2429.124763,2462.201273,2730.614878
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,487.0361287,457.7678259,337.8331455,287.6201238,261.2712545,207.0344573,172.0350887,150.0885502,136.9257164,168.6762854,186.9516383,233.5812485,305.7451586,333.9271509,401.0184033,516.9972106,703.3273759,664.7956557,737.3388832
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,243.611557,276.4524536,250.3299255,224.4915466,228.8900299,258.418335,313.6583862,363.5976868,401.6981506,396.6387329,402.6490479,422.1835938,450.3852844,483.3348694,475.7467346,543.1983032,675.9772339,693.8235474,736.5301514
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,1559.112093,1765.622674,1971.608799,2245.136887,2517.707326,2864.365157,3054.656908,2473.14097,2005.976945,1889.934325,2089.751831,2347.540013,2641.562687,2867.703834,3331.320435,3918.528174,4309.135093,4135.43987,4973.862888
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,168.6210102,189.7946492,235.0647677,264.0669948,283.0580005,302.736982,344.0133276,348.864241,492.4576694,587.7006928,533.9824764,534.9011537,474.4207673,487.4645554,464.6670018,540.1545842,628.1532193,686.5792958,813.0601773
