Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
GDP (current US$),NY.GDP.MKTP.CD,European Union,EUU,6509962315038.71,6725128658501.09,7386533474604.1,6748064931035.35,7153669602083.88,8292479629104.28,8427282888819.22,7730067215825.26,7963038897258,7926425566614.07,7279892216791.94,7398267811404.69,8089955515956.84,9944006859363.36,11434848361291.9,11940626626680.2,12754718274523.8,14779905573599.5,16360464416206,14844850799682.2,14641776061063.4
GDP (current US$),NY.GDP.MKTP.CD,Heavily indebted poor countries (HIPC),HPC,165447183504.841,180013449210.399,136844691209.976,142051421908.561,121518574647.308,141395905527.759,154688747451.139,161933433655.407,167620980707.493,168431404824.133,181929508086.652,175879852361.494,190891346466.397,216610034974.426,249571115303.131,288591119560.553,338947673939.485,404319749775.223,481564738213.917,475142721102.049,518681650290.886
GDP (current US$),NY.GDP.MKTP.CD,High income,HIC,19667490187457.3,20754390160176.7,22226176245107.4,22395792091846.1,23957531730599.6,26567418298132.5,26785161174425.9,26340216405261.3,26260273154078.2,27503045905190,28162974031506.3,27928896371817.3,29144343172968.7,32698820544966.3,36519104666599.4,38777915773379.3,41167629825978.1,45307766399565.3,48575377625136.2,45185733854675.9,47610738714068.3
GDP (current US$),NY.GDP.MKTP.CD,IBRD only,IBD,3640234641965.91,3533522589116.7,3691704784868.32,3930669158918,4336867507416.28,4987839099170.13,5443875017792.29,5775060591518.17,5550058379297.93,5408484188258.02,5886134978692.93,5971611141415.03,6065785974350.62,6814154037538.79,8117393631129.81,9694742216243.09,11501211498155.5,14287517909878.2,17147397340377.1,16646670816085.3,20239797714297.1
GDP (current US$),NY.GDP.MKTP.CD,IDA & IBRD total,IBT,4017916711579.41,3940510265551.67,4055233877768.44,4312831087602.11,4732712405129.87,5468656850572.46,5998032496242.65,6355351844568.47,6153797551256.08,5860980124816.42,6405161916663.93,6484663039122.95,6618955701161.44,7438051094244.74,8846953925341.98,10543941001743.8,12515788445511.7,15478350774972.5,18566849399860,18030309686510,21843599755374.1
GDP (current US$),NY.GDP.MKTP.CD,IDA blend,IDB,159019516930.143,170036291239.493,165355540081.895,175244559141.651,190983317299.202,267309715975.135,328495025650.406,344040187982.76,360890034244.656,203538006166.57,244290144705.894,243968067390.483,267621509358.231,302939673628.933,365116376618.522,428328538127.197,526645636933.891,609839841031.772,714771797937.577,669157586077.064,786359231668.375
GDP (current US$),NY.GDP.MKTP.CD,IDA only,IDX,220767518955.363,240288582087.844,199759409827.933,208457572284.422,205697718339.071,213394230364.239,225170917306.56,235609683373.032,242828324963.786,249690571092.399,275650920074.91,269747437393.254,286540275917.585,322074306128.265,365272291015.942,421468030604.478,488304362308.806,580806156918.826,704680261545.393,714481284347.599,817442809408.684
GDP (current US$),NY.GDP.MKTP.CD,IDA total,IDA,378607545881.088,408942216794.755,364506102250.433,383123667526.839,396492340121.484,481971986420.762,555986446838.934,582084646127.729,606361225726.967,452400909421.395,519441856818.288,513296405076.011,553836284400.809,624678232124.012,730312504980.644,849808229882.356,1015393219998.18,1190938893682.2,1419452059482.97,1383638870424.66,1603802041077.06
GDP (current US$),NY.GDP.MKTP.CD,Late-demographic dividend,LTE,1969512751971.04,1979786087178.22,2019093016960.17,2102175787620.46,2440367682872.9,3023905067447.71,3335133915921.74,3493738971286.24,3367800746254.92,3112522628017.8,3418913200754.6,3536187082458.8,3750348820903.15,4273780094502.46,5137669562692.03,6197282356458.66,7482372535432.29,9435731160311.88,11746008266260.5,11368249341334.8,13681203944217.6
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean,LCN,1101649853839.62,1189339213608.07,1299092404987.06,1537127525768.22,1795771702366.86,1942345373687.39,2100954032184.01,2303665490980.34,2331974611876.79,2107674024426.62,2326960808219.85,2282616598586.76,2052785896654.39,2091901149499.75,2405470324871.32,2903225604297.7,3397326624081.07,3998763226331.27,4644092806762.82,4357538710237.47,5397655976518.39
